subject,relation,object
narrow,synonym,thin
steep,synonym,high
beach,hypernym,shore
city,hypernym,town
desert,hypernym,land
farm,hypernym,land
garden,hypernym,yard
harbor,hypernym,port
meadow,hypernym,field
pasture,hypernym,field
river,hypernym,water
zoo,hypernym,park
gym,hypernym,building
market,hypernym,store
intersection,hypernym,road
tunnel,hypernym,road
bridge,hypernym,road
alarm,hypernym,device
antenna,hypernym,device
bell,hypernym,device
clock,hypernym,device
coin,hypernym,money
cash,hypernym,money
flag,hypernym,symbol
kite,hypernym,toy
balloon,hypernym,toy
letter,hypernym,mail
map,hypernym,paper
mirror,hypernym,glass
rope,hypernym,cord
tape,hypernym,material
towel,hypernym,cloth
arrow,hypernym,tool
cage,hypernym,container
bomb,hypernym,weapon
bouquet,hypernym,flower
briefcase,hypernym,bag
buoy,hypernym,device
burner,hypernym,device
cactus,hypernym,plant
chandelier,hypernym,lamp
chimney,hypernym,pipe
cone,hypernym,shape
cooker,hypernym,appliance
countertop,hypernym,surface
crane,hypernym,machine
crane,hypernym,bird
diamond,hypernym,stone
dome,hypernym,roof
donkey,hypernym,animal
drain,hypernym,pipe
drainer,hypernym,device
drum,hypernym,instrument
dvd,hypernym,disc
fireplace,hypernym,fire
fountain,hypernym,water
guitar,hypernym,instrument
horn,hypernym,instrument
lock,hypernym,device
manhole,hypernym,hole
mannequin,hypernym,figure
marker,hypernym,pen
meter,hypernym,device
net,hypernym,tool
parachute,hypernym,device
pillar,hypernym,support
pin,hypernym,tool
pipe,hypernym,tube
planter,hypernym,container
propeller,hypernym,blade
pump,hypernym,device
racket,hypernym,tool
radiator,hypernym,heater
satellite,hypernym,device
shield,hypernym,protection
silverware,hypernym,utensil
sink,hypernym,basin
sponge,hypernym,tool
staircase,hypernym,stair
sticker,hypernym,label
straw,hypernym,tube
trunk,hypernym,box
turbine,hypernym,machine
batter,hypernym,player
catcher,hypernym,player
chef,hypernym,worker
cowboy,hypernym,person
cyclist,hypernym,person
driver,hypernym,person
father,hypernym,man
jockey,hypernym,person
mother,hypernym,woman
passenger,hypernym,person
photographer,hypernym,person
pilot,hypernym,person
spectator,hypernym,person
student,hypernym,person
surfer,hypernym,person
umpire,hypernym,person
waiter,hypernym,person
foil,hypernym,metal
flour,hypernym,food
fur,hypernym,hair
hay,hypernym,grass
medicine,hypernym,drug
seaweed,hypernym,plant
shampoo,hypernym,soap
silver,hypernym,metal
snow,hypernym,ice
soap,hypernym,cleaner
toothpaste,hypernym,cleaner
cliff,hypernym,rock
fog,hypernym,cloud
leaf,hypernym,plant
moon,hypernym,celestial
pine,hypernym,tree
puddle,hypernym,water
rain,hypernym,water
rainbow,hypernym,arc
star,hypernym,celestial
sun,hypernym,star
tree,hypernym,plant
weed,hypernym,plant
wildflower,hypernym,flower
capital,hypernym,city
cockpit,hypernym,room
stage,hypernym,platform
street,hypernym,road
abundant,synonym,many
alert,synonym,awake
analog,synonym,traditional
antique,synonym,old
bare,synonym,empty
barefoot,synonym,bare
blooming,synonym,flowering
blowing,synonym,windy
